numberOfRecords;consumedGas
1000;48005
999;48005
998;48005
997;48005
996;48005
995;48005
994;48005
993;48005
992;48005
991;48005
990;48005
989;48005
988;47941
987;48005
986;47941
985;48005
984;48005
983;48005
982;48005
981;47941
980;48005
979;48005
978;47941
977;48005
976;47941
975;47941
974;48005
973;48005
972;48005
971;48005
970;48005
969;48005
968;48005
967;48005
966;48005
965;48005
964;47941
963;48005
962;47941
961;48005
960;47941
959;48005
958;47941
957;48005
956;47941
955;47941
954;48005
953;48005
952;48005
951;48005
950;47941
949;48005
948;48005
947;48005
946;48005
945;47941
944;48005
943;48005
942;48005
941;48005
940;48005
939;48005
938;48005
937;48005
936;47941
935;48005
934;48005
933;47941
932;48005
931;48005
930;48005
929;48005
928;48005
927;48005
926;48005
925;48005
924;48005
923;48005
922;47941
921;48005
920;47941
919;48005
918;47941
917;47941
916;48005
915;47941
914;48005
913;48005
912;48005
911;47941
910;48005
909;47941
908;48005
907;47941
906;48005
905;48005
904;48005
903;48005
902;48005
901;48005
900;48005
899;48005
898;48005
897;48005
896;47941
895;47941
894;48005
893;48005
892;48005
891;48005
890;48005
889;47941
888;48005
887;48005
886;48005
885;48005
884;48005
883;47941
882;48005
881;47941
880;48005
879;48005
878;48005
877;48005
876;48005
875;48005
874;48005
873;48005
872;48005
871;47941
870;48005
869;48005
868;48005
867;48005
866;48005
865;48005
864;48005
863;48005
862;48005
861;48005
860;48005
859;48005
858;48005
857;48005
856;48005
855;48005
854;48005
853;47941
852;47941
851;47941
850;48005
849;47941
848;48005
847;47941
846;47941
845;47941
844;48005
843;48005
842;47941
841;48005
840;47941
839;47941
838;48005
837;47941
836;48005
835;48005
834;48005
833;48005
832;47941
831;48005
830;48005
829;48005
828;48005
827;48005
826;47941
825;48005
824;47941
823;47941
822;48005
821;48005
820;48005
819;48005
818;48005
817;48005
816;47941
815;48005
814;48005
813;48005
812;48005
811;47941
810;48005
809;48005
808;47941
807;47941
806;48005
805;48005
804;48005
803;48005
802;47941
801;48005
800;48005
799;48005
798;47941
797;48005
796;48005
795;48005
794;47941
793;47941
792;48005
791;48005
790;48005
789;48005
788;48005
787;47941
786;48005
785;48005
784;48005
783;48005
782;48005
781;47941
780;48005
779;48005
778;47941
777;48005
776;48005
775;47941
774;47941
773;47941
772;48005
771;47941
770;48005
769;47941
768;48005
767;48005
766;48005
765;47941
764;48005
763;48005
762;47941
761;48005
760;47941
759;48005
758;48005
757;48005
756;47941
755;48005
754;47941
753;48005
752;48005
751;48005
750;47941
749;48005
748;47941
747;47941
746;48005
745;48005
744;48005
743;47941
742;47941
741;48005
740;48005
739;48005
738;48005
737;48005
736;48005
735;47941
734;47941
733;48005
732;48005
731;47941
730;48005
729;48005
728;48005
727;48005
726;48005
725;48005
724;48005
723;48005
722;47941
721;48005
720;47941
719;48005
718;48005
717;48005
716;48005
715;48005
714;48005
713;48005
712;48005
711;48005
710;48005
709;48005
708;48005
707;48005
706;48005
705;48005
704;48005
703;48005
702;48005
701;48005
700;47941
699;48005
698;48005
697;47941
696;47941
695;47941
694;48005
693;48005
692;48005
691;48005
690;48005
689;48005
688;48005
687;48005
686;48005
685;47941
684;48005
683;48005
682;47941
681;48005
680;48005
679;48005
678;48005
677;48005
676;48005
675;48005
674;48005
673;48005
672;47941
671;48005
670;48005
669;48005
668;48005
667;48005
666;47941
665;48005
664;48005
663;48005
662;48005
661;48005
660;47941
659;48005
658;48005
657;47941
656;47941
655;47941
654;48005
653;48005
652;48005
651;48005
650;48005
649;48005
648;48005
647;48005
646;48005
645;48005
644;48005
643;48005
642;48005
641;47941
640;48005
639;47941
638;48005
637;48005
636;48005
635;48005
634;48005
633;48005
632;47941
631;47941
630;48005
629;48005
628;48005
627;47941
626;48005
625;48005
624;48005
623;48005
622;48005
621;48005
620;48005
619;48005
618;48005
617;48005
616;48005
615;48005
614;48005
613;48005
612;48005
611;48005
610;48005
609;48005
608;47941
607;48005
606;48005
605;48005
604;48005
603;48005
602;48005
601;47941
600;48005
599;48005
598;48005
597;48005
596;48005
595;48005
594;47941
593;48005
592;47941
591;48005
590;48005
589;48005
588;48005
587;48005
586;48005
585;47941
584;47941
583;48005
582;48005
581;47941
580;48005
579;48005
578;48005
577;48005
576;48005
575;48005
574;48005
573;48005
572;48005
571;47941
570;48005
569;48005
568;48005
567;47941
566;48005
565;48005
564;48005
563;47941
562;47941
561;48005
560;47941
559;47941
558;48005
557;48005
556;48005
555;48005
554;48005
553;48005
552;48005
551;48005
550;48005
549;47941
548;48005
547;48005
546;47941
545;48005
544;48005
543;47941
542;48005
541;48005
540;47941
539;47941
538;47941
537;48005
536;48005
535;47941
534;48005
533;47941
532;48005
531;47941
530;48005
529;48005
528;48005
527;48005
526;47941
525;47941
524;48005
523;47941
522;48005
521;48005
520;47941
519;48005
518;48005
517;47941
516;47941
515;48005
514;48005
513;47941
512;48005
511;48005
510;48005
509;48005
508;47941
507;48005
506;47941
505;48005
504;48005
503;47941
502;48005
501;48005
500;48005
499;48005
498;48005
497;48005
496;48005
495;47941
494;47941
493;48005
492;48005
491;48005
490;47941
489;48005
488;48005
487;48005
486;47941
485;47941
484;47941
483;48005
482;48005
481;48005
480;47941
479;48005
478;48005
477;48005
476;48005
475;48005
474;48005
473;48005
472;47941
471;48005
470;48005
469;48005
468;48005
467;47941
466;48005
465;48005
464;48005
463;48005
462;48005
461;48005
460;48005
459;48005
458;47941
457;48005
456;48005
455;48005
454;48005
453;47941
452;47941
451;48005
450;47941
449;47941
448;47941
447;48005
446;47941
445;47941
444;48005
443;48005
442;47941
441;47941
440;47941
439;48005
438;48005
437;47941
436;48005
435;48005
434;48005
433;47941
432;47941
431;48005
430;48005
429;48005
428;48005
427;48005
426;48005
425;48005
424;48005
423;47941
422;48005
421;48005
420;48005
419;47941
418;48005
417;47941
416;48005
415;48005
414;48005
413;48005
412;48005
411;48005
410;48005
409;47941
408;48005
407;47941
406;47941
405;47941
404;48005
403;48005
402;48005
401;48005
400;48005
399;48005
398;48005
397;48005
396;48005
395;48005
394;47941
393;48005
392;48005
391;48005
390;48005
389;48005
388;48005
387;48005
386;48005
385;48005
384;47941
383;47941
382;48005
381;48005
380;48005
379;47941
378;48005
377;47941
376;48005
375;48005
374;48005
373;47941
372;48005
371;48005
370;48005
369;48005
368;48005
367;48005
366;48005
365;48005
364;48005
363;47941
362;48005
361;48005
360;48005
359;48005
358;48005
357;48005
356;48005
355;48005
354;47941
353;47941
352;48005
351;48005
350;48005
349;48005
348;48005
347;48005
346;48005
345;47941
344;48005
343;48005
342;48005
341;48005
340;48005
339;48005
338;48005
337;47941
336;48005
335;47941
334;47941
333;48005
332;48005
331;48005
330;48005
329;48005
328;47941
327;48005
326;48005
325;48005
324;48005
323;48005
322;47941
321;47941
320;48005
319;47941
318;48005
317;48005
316;48005
315;47941
314;48005
313;47941
312;48005
311;48005
310;48005
309;48005
308;48005
307;47941
306;48005
305;47941
304;48005
303;48005
302;48005
301;48005
300;48005
299;48005
298;48005
297;48005
296;47941
295;48005
294;48005
293;48005
292;47941
291;48005
290;38971
289;48005
288;48005
287;48005
286;47941
285;48005
284;48005
283;47941
282;48005
281;48005
280;47941
279;48005
278;48005
277;48005
276;48005
275;48005
274;48005
273;48005
272;48005
271;48005
270;48005
269;48005
268;47941
267;48005
266;48005
265;47941
264;47941
263;48005
262;48005
261;47941
260;48005
259;48005
258;48005
257;47941
256;48005
255;48005
254;47941
253;48005
252;48005
251;48005
250;47941
249;48005
248;47941
247;48005
246;48005
245;47941
244;48005
243;47941
242;48005
241;48005
240;48005
239;47941
238;48005
237;47941
236;47941
235;48005
234;48005
233;47941
232;48005
231;47941
230;48005
229;48005
228;47941
227;48005
226;47941
225;48005
224;47941
223;48005
222;48005
221;48005
220;48005
219;48005
218;48005
217;48005
216;48005
215;48005
214;48005
213;48005
212;47941
211;47941
210;47941
209;48005
208;48005
207;48005
206;48005
205;48005
204;48005
203;48005
202;47941
201;48005
200;48005
199;48005
198;48005
197;48005
196;47941
195;47941
194;47941
193;48005
192;47941
191;48005
190;47941
189;48005
188;47941
187;48005
186;48005
185;47941
184;47941
183;47941
182;47941
181;47941
180;48005
179;48005
178;48005
177;48005
176;48005
175;48005
174;48005
173;47941
172;47941
171;47941
170;48005
169;48005
168;47941
167;48005
166;48005
165;48005
164;47941
163;48005
162;47941
161;47941
160;48005
159;48005
158;48005
157;48005
156;48005
155;48005
154;48005
153;48005
152;48005
151;48005
150;48005
149;48005
148;48005
147;47941
146;48005
145;48005
144;48005
143;48005
142;47941
141;48005
140;48005
139;48005
138;48005
137;48005
136;48005
135;48005
134;48005
133;48005
132;48005
131;48005
130;48005
129;48005
128;48005
127;48005
126;47941
125;48005
124;48005
123;48005
122;48005
121;47941
120;48005
119;47941
118;48005
117;48005
116;48005
115;48005
114;48005
113;47941
112;48005
111;48005
110;48005
109;48005
108;48005
107;48005
106;47941
105;48005
104;48005
103;47941
102;48005
101;47941
100;48005
99;48005
98;48005
97;48005
96;48005
95;48005
94;48005
93;48005
92;48005
91;48005
90;47941
89;47941
88;48005
87;48005
86;39003
85;48005
84;47941
83;48005
82;48005
81;47941
80;48005
79;47941
78;48005
77;48005
76;47941
75;48005
74;48005
73;47941
72;47941
71;48005
70;48005
69;48005
68;48005
67;48005
66;48005
65;48005
64;48005
63;48005
62;48005
61;47941
60;47941
59;48005
58;48005
57;48005
56;47941
55;48005
54;47941
53;48005
52;47941
51;48005
50;48005
49;47941
48;48005
47;48005
46;48005
45;48005
44;48005
43;47941
42;48005
41;47941
40;47941
39;39003
38;48005
37;48005
36;48005
35;48005
34;47941
33;48005
32;48005
31;48005
30;48005
29;48005
28;48005
27;48005
26;47941
25;47941
24;48005
23;47941
22;48005
21;47941
20;47941
19;47941
18;48005
17;48005
16;38971
15;48005
14;48005
13;47941
12;48005
11;48005
10;48005
9;48005
8;39003
7;48005
6;48005
5;48005
4;48005
3;39003
2;48005
1;38971
