run;timeframe;submitted;confirmed;pending
0;77893954542;110;110;0
1;75395397035;96;76;20
2;78029653451;107;87;20
3;79877334015;114;34;80
4;78511725558;114;65;49
5;79234822274;117;25;92
6;77161529983;103;90;13
7;76784189204;98;95;3
8;77522844827;108;108;0
9;77051392247;111;111;0
10;76801844863;106;106;0
11;78034436051;112;111;1
12;76531568128;111;76;35
13;76988376760;108;106;2
14;77539351050;113;59;54
15;79325520466;110;110;0
16;76887447093;114;19;95
17;77855792921;107;100;7
18;77220513491;114;54;60
19;76821349057;111;70;41
